id,title,author,price,idEditorial
18,El extranjero,Albert Camus,1263.40,3
23,El conde de Montecristo,Alejandro Dumas,1015.80,1
19,Dracula,Bram Stroker,1635.10,4
20,Divina Comedia,Dante Alighieri,2100.60,5
16,Boulevard,Flor M. Salvador,1575.60,4
21,La metamorfosis,Franz Kafka,1468.90,6
10,Cien años de soledad,Gabriel Garcia Marquez,1756.40,5
22,Los cuentos de Canterbury,Geoffrey,1587.45,4
17,La Casa de los espiritus,Isabel Allende,1144.16,1
3,Harry Potter y el prisionero de Azkaban,J. K. Rowling,1569.54,2
4,Harry Potter y la orden del fenix,J. K. Rowling,1750.65,2
5,Harry Potter y el principe mestizo,J. K. Rowling,1805.62,2
6,Harry Potter y las reliquias de la muerte,J. K. Rowling,2100.50,2
7,Harry Potter y el caliz de fuego,J. K. Rowling,1580.10,2
1,Harry Potter y la piedra filosofal,J. K. Rowling,1526.35,2
2,Harry Potter y la camara secreta,J. K. Rowling,1680.50,2
8,Orgullo y prejuicio,Jane Austen,1680.40,1
12,Sentido y sensibilidad,Jane Austen,922.10,1
14,El coraje de vivir,Jose Antonio Goyri,1400.90,3
25,Rayuela,Julio Cortazar,1245.99,6
13,La forense,Marisa Grintein,1140.50,6
9,Don quijote de la mancha,Miguel de Cervantes,1856.30,4
24,Canto general,Pablo Neruda,1597.20,4
15,La montaña magica,Thomas Mann,2500.50,6
11,Hamlet,William Shakespeare,2150.65,3
